Sigla ICAO Empresa Aérea;Empresa Aérea;Número Voo;Código DI;Código Tipo Linha;Modelo Equipamento;Número de Assentos;Sigla ICAO Aeroporto Origem;Descrição Aeroporto Origem;Partida Prevista;Partida Real;Sigla ICAO Aeroporto Destino;Descrição Aeroporto Destino;Chegada Prevista;Chegada Real;Situação Voo;Justificativa;Referência;Situação Partida;Situação Chegada
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;02/01/2022 12:50;02/01/2022 13:28;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;02/01/2022 13:45;02/01/2022 14:18;REALIZADO;;02/01/2022 00:00:00;Atraso 30-60;Atraso 30-60
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;03/01/2022 12:50;03/01/2022 12:56;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;03/01/2022 13:45;03/01/2022 13:49;REALIZADO;;03/01/2022 00:00:00;Pontual;Pontual
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;05/01/2022 12:50;05/01/2022 12:54;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;05/01/2022 13:45;05/01/2022 13:47;REALIZADO;;05/01/2022 00:00:00;Pontual;Pontual
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;07/01/2022 12:50;07/01/2022 12:59;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;07/01/2022 13:45;07/01/2022 13:55;REALIZADO;;07/01/2022 00:00:00;Pontual;Pontual
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;09/01/2022 12:50;09/01/2022 12:50;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;09/01/2022 13:45;09/01/2022 13:43;REALIZADO;;09/01/2022 00:00:00;Pontual;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;10/01/2022 12:50;10/01/2022 13:22;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;10/01/2022 13:45;10/01/2022 14:15;REALIZADO;;10/01/2022 00:00:00;Atraso 30-60;Pontual
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;12/01/2022 12:50;12/01/2022 12:52;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;12/01/2022 13:45;12/01/2022 13:47;REALIZADO;;12/01/2022 00:00:00;Pontual;Pontual
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;14/01/2022 12:50;14/01/2022 12:42;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;14/01/2022 13:45;14/01/2022 13:36;REALIZADO;;14/01/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;16/01/2022 12:50;16/01/2022 13:21;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;16/01/2022 13:45;16/01/2022 14:12;REALIZADO;;16/01/2022 00:00:00;Atraso 30-60;Pontual
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;19/01/2022 12:50;19/01/2022 12:46;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;19/01/2022 13:45;19/01/2022 13:42;REALIZADO;;19/01/2022 00:00:00;Antecipado;Antecipado
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;4468;0;N;E195;118;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;21/01/2022 12:50;21/01/2022 13:22;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;21/01/2022 13:45;21/01/2022 14:16;REALIZADO;;21/01/2022 00:00:00;Atraso 30-60;Atraso 30-60
