Sigla ICAO Empresa Aérea;Empresa Aérea;Número Voo;Código DI;Código Tipo Linha;Modelo Equipamento;Número de Assentos;Sigla ICAO Aeroporto Origem;Descrição Aeroporto Origem;Partida Prevista;Partida Real;Sigla ICAO Aeroporto Destino;Descrição Aeroporto Destino;Chegada Prevista;Chegada Real;Situação Voo;Justificativa;Referência;Situação Partida;Situação Chegada
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;03/01/2022 20:50;03/01/2022 21:29;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;03/01/2022 22:00;03/01/2022 22:48;REALIZADO;;03/01/2022 00:00:00;Atraso 30-60;Atraso 30-60
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;04/01/2022 19:10;04/01/2022 19:04;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;04/01/2022 20:20;04/01/2022 20:11;REALIZADO;;04/01/2022 00:00:00;Antecipado;Antecipado
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;07/01/2022 20:00;07/01/2022 22:12;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;07/01/2022 21:10;07/01/2022 23:15;REALIZADO;;07/01/2022 00:00:00;Atraso 120-240;Atraso 120-240
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;10/01/2022 19:10;10/01/2022 19:14;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;10/01/2022 20:20;10/01/2022 20:16;REALIZADO;;10/01/2022 00:00:00;Pontual;Antecipado
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;11/01/2022 19:10;11/01/2022 19:12;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;11/01/2022 20:20;11/01/2022 20:14;REALIZADO;;11/01/2022 00:00:00;Pontual;Antecipado
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;14/01/2022 20:00;14/01/2022 23:08;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;14/01/2022 21:10;15/01/2022 00:16;REALIZADO;;14/01/2022 00:00:00;Atraso 120-240;Atraso 120-240
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;17/01/2022 19:10;17/01/2022 21:52;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;17/01/2022 20:20;17/01/2022 23:10;REALIZADO;;17/01/2022 00:00:00;Atraso 120-240;Atraso 120-240
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;18/01/2022 19:10;18/01/2022 19:10;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;18/01/2022 20:20;18/01/2022 20:15;REALIZADO;;18/01/2022 00:00:00;Pontual;Antecipado
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;21/01/2022 20:00;21/01/2022 22:22;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;21/01/2022 21:10;21/01/2022 23:26;REALIZADO;;21/01/2022 00:00:00;Atraso 120-240;Atraso 120-240
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;70;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;23/01/2022 18:25;23/01/2022 18:27;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;23/01/2022 19:35;23/01/2022 19:32;REALIZADO;;23/01/2022 00:00:00;Pontual;Antecipado
