Sigla ICAO Empresa Aérea;Empresa Aérea;Número Voo;Código DI;Código Tipo Linha;Modelo Equipamento;Número de Assentos;Sigla ICAO Aeroporto Origem;Descrição Aeroporto Origem;Partida Prevista;Partida Real;Sigla ICAO Aeroporto Destino;Descrição Aeroporto Destino;Chegada Prevista;Chegada Real;Situação Voo;Justificativa;Referência;Situação Partida;Situação Chegada
TTL;TOTAL LINHAS AÉREAS S.A.;9910;2;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;23/06/2022 13:00;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;23/06/2022 13:55;;CANCELADO;;23/06/2022 00:00:00;;
TTL;TOTAL LINHAS AÉREAS S.A.;9912;2;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;23/06/2022 16:10;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;23/06/2022 17:10;;CANCELADO;;23/06/2022 00:00:00;;
TTL;TOTAL LINHAS AÉREAS S.A.;9914;2;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;23/06/2022 19:25;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;23/06/2022 20:20;;CANCELADO;;23/06/2022 00:00:00;;
TTL;TOTAL LINHAS AÉREAS S.A.;9916;2;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;24/06/2022 13:00;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;24/06/2022 13:55;;CANCELADO;;24/06/2022 00:00:00;;
TTL;TOTAL LINHAS AÉREAS S.A.;9918;2;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;24/06/2022 16:10;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;24/06/2022 17:10;;CANCELADO;;24/06/2022 00:00:00;;
TTL;TOTAL LINHAS AÉREAS S.A.;9920;2;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;24/06/2022 19:25;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;24/06/2022 20:20;;CANCELADO;;24/06/2022 00:00:00;;
TTL;TOTAL LINHAS AÉREAS S.A.;9922;2;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;25/06/2022 14:00;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;25/06/2022 14:55;;CANCELADO;;25/06/2022 00:00:00;;
TTL;TOTAL LINHAS AÉREAS S.A.;9910;7;N;AT45;48;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;;26/06/2022 21:01;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;;26/06/2022 22:11;REALIZADO;;26/06/2022 00:00:00;;
TTL;TOTAL LINHAS AÉREAS S.A.;9924;2;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;26/06/2022 12:00;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;26/06/2022 12:55;;CANCELADO;;26/06/2022 00:00:00;;
TTL;TOTAL LINHAS AÉREAS S.A.;9926;2;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;26/06/2022 15:10;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;26/06/2022 16:10;;CANCELADO;;26/06/2022 00:00:00;;
TTL;TOTAL LINHAS AÉREAS S.A.;9936;7;N;AT45;48;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;;26/06/2022 17:27;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;;26/06/2022 18:30;REALIZADO;;26/06/2022 00:00:00;;
TTL;TOTAL LINHAS AÉREAS S.A.;9922;7;N;AT45;48;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;;27/06/2022 16:52;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;;27/06/2022 18:05;REALIZADO;;27/06/2022 00:00:00;;
TTL;TOTAL LINHAS AÉREAS S.A.;9928;2;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;27/06/2022 08:30;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;27/06/2022 09:30;;CANCELADO;;27/06/2022 00:00:00;;
TTL;TOTAL LINHAS AÉREAS S.A.;9930;2;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;27/06/2022 11:40;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;27/06/2022 12:40;;CANCELADO;;27/06/2022 00:00:00;;
TTL;TOTAL LINHAS AÉREAS S.A.;9932;2;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;27/06/2022 14:55;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;27/06/2022 15:50;;CANCELADO;;27/06/2022 00:00:00;;
TTL;TOTAL LINHAS AÉREAS S.A.;9902;7;N;AT45;48;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;;28/06/2022 16:33;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;;28/06/2022 17:43;REALIZADO;;28/06/2022 00:00:00;;
TTL;TOTAL LINHAS AÉREAS S.A.;9934;2;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;28/06/2022 07:00;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;28/06/2022 07:55;;CANCELADO;;28/06/2022 00:00:00;;
TTL;TOTAL LINHAS AÉREAS S.A.;9906;7;N;AT45;48;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;;29/06/2022 14:05;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;;29/06/2022 15:17;REALIZADO;;29/06/2022 00:00:00;;
